data_hora,Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm)
2023-01-29,22.969444444444445,23.93472222222222,21.92638888888889,71.11111111111111,76.72222222222223,66.41666666666667,17.17638888888889,18.104166666666668,16.406944444444445,885.4833333333333,885.8194444444445,885.2222222222222,2.6453929246315275,195.98611111111111,5.9228189202827615,1580.177777777778,0.2888888888888889
2023-02-05,24.509523809523813,25.198809523809523,23.277380952380952,62.5,68.72619047619048,59.01190476190476,16.428571428571427,17.429761904761904,15.520238095238096,887.1845238095239,887.5357142857143,886.9833333333333,2.294047619047619,133.4047619047619,5.526190476190476,1767.392857142857,0.1476190476190476
2023-02-12,25.157142857142855,25.711904761904766,24.029761904761905,58.785714285714285,64.42857142857143,56.07142857142857,16.003571428571426,16.991666666666667,15.226190476190476,886.4904761904761,886.8773809523809,886.2654761904762,2.236904761904762,114.96428571428571,5.47313050309951,1762.9964285714286,0.009523809523809525
2023-02-19,25.451190476190476,26.02857142857143,24.25952380952381,58.63095238095238,64.28571428571429,55.392857142857146,16.03333333333333,16.938095238095237,15.071428571428571,885.3640403345922,885.8278881047557,885.235805866712,2.473432030636547,147.79761904761904,5.946428571428571,1892.9511904761905,0.11428571428571428
2023-02-26,24.008333333333333,24.71309523809524,23.00952380952381,66.11904761904762,71.0952380952381,62.32142857142857,16.939285714285717,17.777380952380952,16.035714285714285,887.7797619047619,888.1357142857142,887.547619047619,2.2928571428571427,128.72619047619048,5.565987645956653,1735.5345238095238,0.03333333333333333
2023-03-05,24.896428571428572,25.666666666666668,23.785714285714285,59.01190476190476,64.33333333333333,55.166666666666664,15.695238095238096,16.73095238095238,14.733333333333333,887.7309523809523,888.0726190476191,887.5107142857142,2.6642857142857146,115.14285714285714,6.105952380952381,1921.4059523809524,0.22142857142857145
2023-03-12,23.44047619047619,24.03452380952381,22.47738095238095,69.03571428571429,73.91666666666667,66.0,17.1,17.860714285714284,16.34642857142857,886.5857142857143,886.9380952380952,886.3654761904761,2.2226190476190473,124.29761904761905,5.465476190476191,1408.0761904761905,0.12142857142857141
2023-03-19,22.335714285714285,23.010714285714286,21.523809523809526,72.45238095238095,76.75,69.38095238095238,16.896428571428572,17.579761904761906,16.279761904761905,886.7333333333333,887.0857142857143,886.4761904761905,2.380952380952381,110.3452380952381,5.894047619047619,1231.3428571428572,0.3976190476190477
2023-03-26,23.414285714285715,24.048809523809524,22.271428571428572,64.78571428571429,70.1547619047619,61.54761904761905,15.766666666666667,16.59166666666667,14.945238095238096,888.1654761904762,888.4857142857143,887.9273809523809,2.7214285714285715,109.48809523809524,6.3112257411947486,1583.5428571428572,0.28809523809523807
2023-04-02,24.88095238095238,25.654761904761905,23.696428571428573,54.964285714285715,60.785714285714285,51.583333333333336,14.703571428571427,15.803571428571429,13.845238095238095,887.2750000000001,887.6035714285714,887.0595238095239,2.261904761904762,148.54761904761904,5.439285714285714,1633.602380952381,0.016666666666666666
2023-04-09,22.679761904761904,23.464285714285715,21.74047619047619,70.71428571428571,75.33333333333333,66.98809523809524,16.795238095238094,17.51904761904762,16.117857142857144,886.4404761904761,886.7821428571428,886.1869047619048,2.2833333333333337,125.0952380952381,5.3273809523809526,1303.5726190476191,0.14285714285714285
2023-04-16,23.642857142857142,24.424999999999997,22.666666666666668,69.8452380952381,75.04761904761905,65.78571428571429,17.50952380952381,18.35,16.761904761904763,886.8464285714286,887.195238095238,886.6202380952382,2.1392857142857142,126.52380952380952,5.127892407861415,1386.1535714285715,0.46904761904761905
2023-04-23,22.517857142857142,23.241666666666667,21.626190476190477,72.55952380952381,76.29761904761905,69.1547619047619,17.135714285714286,17.70595238095238,16.51904761904762,886.1928571428571,886.5943011952351,885.9958791238323,2.7714285714285714,178.36904761904762,6.276190476190477,1276.513095238095,0.04999999999999999
2023-04-30,22.928571428571427,23.79285714285714,21.77261904761905,67.4047619047619,72.42857142857143,63.51190476190476,16.258333333333333,17.03452380952381,15.477380952380951,888.3916666666667,888.6916666666667,888.1607142857143,2.355574887779404,133.03571428571428,5.6306172504932785,1445.4761904761904,0.6071428571428571
2023-05-07,23.457942107499758,24.15868163641428,22.146428571428572,56.857142857142854,62.392857142857146,53.98809523809524,13.883333333333335,14.795238095238094,13.098809523809523,888.3226190476191,888.6547619047619,888.0964285714286,2.344047619047619,134.96428571428572,5.416666666666667,1683.8321428571428,0.002380952380952381
2023-05-14,23.25595238095238,24.006300684033327,22.045238095238094,56.38095238095238,61.583333333333336,52.964285714285715,13.678571428571429,14.441666666666666,12.802380952380954,888.4345238095239,888.7285714285714,888.1988095238095,1.855952380952381,129.35714285714286,4.378571428571429,1550.4964285714286,0.011904761904761904
2023-05-21,22.796445370118324,23.414140147338077,21.44297093155933,49.70238095238095,54.976190476190474,47.154761904761905,10.92142857142857,11.83095238095238,10.123809523809523,889.0416666666666,889.3642857142858,888.8154761904761,2.1535714285714285,114.05952380952381,4.916666666666667,1617.2559523809523,0.0
2023-05-28,21.665084964642617,22.36736327282856,20.600652132446335,58.464285714285715,62.76190476190476,56.05952380952381,12.702380952380953,13.325,12.04404761904762,889.4190476190475,889.7190476190475,889.1880952380952,2.611904761904762,97.02380952380952,5.8,1519.2857142857142,0.0
