Real,Previsao
7.305132610288474,7.118453708081045
7.325541001053973,6.87663949870146
7.34799441519057,6.523388111370839
7.386532067230984,6.274479490671958
7.390341615278221,6.252738920478827
7.295941002309986,6.155496889396857
7.418135803706244,5.952129692167252
7.444428249073668,5.592816007955673
7.487561107488189,5.2670434457830115
7.497337288959333,5.199283457272313
7.525593766811841,5.320468197722549
7.573098046031696,5.029338203745291
7.5331320548237715,5.018323905445696
7.534481532869756,4.630703477271796
7.623155397033977,4.352578018799696
7.265646150048435,4.477611329711063
7.0282088197375705,4.440011242320379
7.168198285094783,4.041502751950163
7.083161112111299,3.9872428126110444
7.145009284133193,4.041904434130526
7.033405698155783,3.822729041819178
7.421117682400098,3.4615899725291515
7.334769853786821,3.278310842698115
7.458678291948203,3.4176304119314205
7.38024836647753,3.3040135694577613
7.3099507619726785,2.951833597426821
7.2116085682029984,2.84376192256231
7.280430696542434,2.5904590820392657
7.241044734837584,2.649153547470144
7.295484669882073,2.6982203860681757
7.601479792853129,2.224281367660818
